id,director
2,"Aki Kaurismäki, Aki Kaurismäki, nan, nan, nan, nan"
3,"Aki Kaurismäki, Aki Kaurismäki, nan, nan, nan, Mika Kaurismäki, nan, nan, nan, nan, nan"
5,"nan, nan, nan, Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, nan, Quentin Tarantino, Alexandre Rockwell, nan, nan, nan, Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Rodrigo García, nan, nan, Andrzej Sekula, nan, nan, nan, Robert Rodriguez, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Ziad Doueiri, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Ben Parker, nan, nan, nan, Ben Parker, nan, nan, nan, nan, nan, nan, Douglas Aarniokoski, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Chuck Jones, nan"
6,"Stephen Hopkins, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
11,"George Lucas, George Lucas, George Lucas, nan, nan, John Williams, nan, nan, nan, nan, nan, nan, Roger Christian, nan, nan, Phil Tippett, nan, nan, nan, nan"
12,"Andrew Stanton, Andrew Stanton, Andrew Stanton, Lee Unkrich, Lee Unkrich, nan, nan, nan, John Lasseter, nan, Thomas Newman, Gary Rydstrom, Gary Rydstrom, Gary Rydstrom, nan, Ralph Eggleston, nan, nan, nan, nan, nan, nan, nan, Angus MacLane, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Alan Barillaro, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Peter Sohn, Jim Capobianco, nan, nan, nan, nan, nan, nan, nan, nan, Mark A. Walsh, nan, nan, nan, Ronnie del Carmen, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Mark Whiting, nan, nan, nan, nan, nan, nan, nan, nan"
13,"Robert Zemeckis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
14,"Sam Mendes, Alan Ball, nan, nan, Thomas Newman, nan, nan, nan, nan, nan, nan, Alan Ball, nan, Alan Ball, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Geoffrey Haley, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
15,"Orson Welles, Orson Welles, nan, George Schaefer, nan, Gregg Toland, Robert Wise, nan, nan, nan, Orson Welles, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Mark Robson, nan, nan, nan, nan, nan, nan"
16,"Lars von Trier, nan, nan, Friðrik Þór Friðriksson, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Lars von Trier, nan, nan, nan, nan, nan, Liz Miller, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, Lars von Trier, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
